key,0s,1s,2s,3s,4s,6s,outs,balls
"AB de Villiers, KK Cooper",2,3,0,0,2,1,0,8
"AD Russell, HV Patel",3,1,1,0,2,1,0,8
"JP Duminy, KK Cooper",2,1,0,0,0,0,0,3
"RA Jadeja, B Kumar",5,16,3,0,2,0,0,26
"LMP Simmons, Sandeep Sharma",10,8,4,0,9,1,0,32
"M Vijay, NLTC Perera",6,3,0,0,5,0,2,14
"DR Smith, SMSM Senanayake",2,1,1,1,2,1,0,8
"CL White, S Nadeem",9,13,2,0,1,1,1,26
"RN ten Doeschate, M Morkel",1,1,0,0,1,1,1,4
"Shoaib Malik, DS Kulkarni",2,3,1,0,1,0,0,7
"AB de Villiers, MC Henriques",3,17,2,0,5,2,1,29
"CH Morris, NM Coulter-Nile",3,3,0,0,1,0,1,7
"TL Suman, JD Ryder",0,2,0,0,0,1,0,3
"N Rana, Mohammed Siraj",2,0,0,0,2,0,0,4
"KK Nair, Rashid Khan",2,4,0,0,1,0,0,7
"Mandeep Singh, KMDN Kulasekara",7,4,0,0,2,0,0,13
"IK Pathan, R Dhawan",3,3,0,0,0,0,2,6
"AM Nayar, A Nehra",5,2,0,0,0,0,2,7
"TM Head, KV Sharma",2,2,0,0,0,0,0,4
"KC Sangakkara, AB Agarkar",7,9,3,0,2,0,0,21
"B Kumar, UT Yadav",0,1,0,0,1,1,0,3
"AC Gilchrist, DE Bollinger",9,2,1,0,1,0,1,13
"JM Kemp, Jaskaran Singh",1,0,0,1,1,0,0,3
"F du Plessis, KK Cooper",6,7,1,0,1,0,1,15
"Sandeep Sharma, CR Brathwaite",0,1,0,0,0,0,0,1
"TM Dilshan, AD Mathews",5,4,1,0,1,0,0,11
"Anirudh Singh, A Kumble",3,3,0,0,0,0,0,6
"Harbhajan Singh, M Ashwin",7,1,2,0,1,0,0,11
"JEC Franklin, J Syed Mohammad",3,1,0,0,0,0,0,4
"LR Shukla, RR Raje",1,0,0,0,0,0,1,1
"Shoaib Akhtar, DJ Bravo",0,1,0,0,0,0,0,1
"MF Maharoof, SC Ganguly",1,3,0,0,0,0,0,4
"HH Gibbs, AD Mathews",9,9,1,0,2,0,0,21
"MK Tiwary, SK Trivedi",1,10,0,0,2,0,1,13
"AB de Villiers, Shakib Al Hasan",4,8,3,0,1,2,0,18
"SK Raina, JR Hopes",1,4,0,0,0,2,0,7
"Harbhajan Singh, Sandeep Sharma",3,5,0,0,0,0,0,8
"Bipul Sharma, J Botha",0,1,0,0,0,0,0,1
"SB Styris, Mohammad Asif",0,4,1,0,2,0,0,7
"BJ Haddin, J Syed Mohammad",4,0,0,0,0,0,1,4
"AM Rahane, PJ Sangwan",12,0,2,0,3,0,2,17
"KM Jadhav, J Botha",0,2,0,0,0,1,0,3
"A Flintoff, DW Steyn",2,4,0,0,1,1,0,8
"BJ Hodge, SB Wagh",1,0,0,0,0,0,0,1
"IR Jaggi, J Botha",2,3,1,0,1,0,0,7
"JD Ryder, DJ Bravo",3,3,1,0,1,1,0,9
"Gurkeerat Singh, IK Pathan",1,5,2,0,0,3,0,11
"BJ Hodge, RG Sharma",1,2,0,1,1,0,0,5
"DS Kulkarni, RA Jadeja",3,4,1,0,1,0,0,9
"MK Pandey, A Symonds",7,10,1,0,0,1,0,19
"AB de Villiers, CL White",1,1,0,0,0,0,1,2
"S Sriram, PP Chawla",2,0,0,0,0,0,1,2
"SC Ganguly, STR Binny",0,3,0,0,0,0,0,3
"A Symonds, JR Hopes",0,1,0,0,0,0,0,1
"ML Hayden, Harmeet Singh",1,0,0,0,0,0,1,1
"LMP Simmons, MA Starc",1,5,0,0,1,0,0,7
"Ankit Sharma, D Wiese",0,1,0,0,1,0,0,2
"A Choudhary, MM Sharma",2,2,0,0,0,0,1,4
"CH Gayle, K Upadhyay",5,3,0,0,0,2,0,10
"SK Warne, PP Chawla",2,2,0,0,1,0,0,5
"AT Rayudu, PD Collingwood",2,6,0,0,0,0,0,8
"SK Raina, GJ Maxwell",5,6,0,0,0,0,1,11
"WP Saha, KV Sharma",9,16,2,0,3,0,1,30
"J Theron, SW Tait",1,1,0,0,0,0,1,2
"R Bhatia, SB Jakati",0,1,0,0,0,0,0,1
"DA Miller, PP Ojha",4,5,1,0,1,1,0,12
"G Gambhir, BA Bhatt",7,11,4,0,4,0,0,26
"KK Nair, R Vinay Kumar",8,3,0,0,1,0,1,12
"HH Gibbs, Iqbal Abdulla",1,1,0,0,0,0,1,2
"CA Pujara, AC Voges",3,4,0,0,0,1,0,8
"MK Pandey, A Ashish Reddy",0,2,0,0,0,0,0,2
"RV Uthappa, R Ashwin",19,24,1,0,4,5,4,53
"P Kumar, SP Narine",1,0,0,0,0,0,1,1
"S Dhawan, Shivam Sharma",2,3,0,0,0,0,0,5
"RA Jadeja, S Kaul",1,6,0,0,1,0,0,8
"AM Rahane, VY Mahesh",3,3,0,0,0,0,1,6
"M Kartik, STR Binny",0,2,0,0,0,0,0,2
"AA Jhunjhunwala, R Sathish",1,2,0,0,0,0,0,3
"PJ Cummins, KV Sharma",1,1,1,0,0,0,0,3
"V Kohli, R Sharma",7,22,1,0,1,3,1,34
"CL White, AB Agarkar",4,1,1,0,0,0,1,6
"SK Raina, Harmeet Singh",5,8,1,0,2,0,0,16
"SR Tendulkar, SK Trivedi",14,25,4,0,3,2,1,48
"MS Dhoni, K Goel",0,1,1,0,2,0,0,4
"SPD Smith, Shakib Al Hasan",3,6,0,0,0,0,0,9
"R Ashwin, R Vinay Kumar",0,3,0,0,1,0,0,4
"SPD Smith, VY Mahesh",2,0,0,0,1,1,0,4
"MK Tiwary, AJ Tye",3,3,1,0,0,0,1,7
"CA Pujara, MM Patel",2,1,0,0,2,0,0,5
"KS Williamson, PJ Cummins",6,4,3,0,1,1,0,15
"P Negi, YS Chahal",0,1,0,0,0,1,0,2
"SA Asnodkar, DP Nannes",2,0,0,0,0,0,1,2
"PR Shah, P Parameswaran",0,1,0,0,0,0,0,1
"PP Chawla, P Negi",0,1,0,0,0,0,0,1
"MC Juneja, S Badree",1,1,1,0,0,0,0,3
"J Botha, AD Mathews",0,1,1,0,1,0,0,3
"IK Pathan, S Dhawan",2,0,0,0,0,0,0,2
"CA Pujara, A Kumble",3,2,0,0,0,0,0,5
"DR Smith, PP Chawla",2,4,0,0,1,1,1,8
"G Gambhir, Harmeet Singh",1,1,1,0,2,1,0,6
"A Mukund, S Sreesanth",0,1,0,0,0,0,0,1
"SP Narine, MJ McClenaghan",1,0,0,0,0,0,1,1
"BJ Hodge, B Lee",6,2,2,0,4,2,1,16
"A Mishra, Harmeet Singh",1,0,0,0,0,0,1,1
"SS Iyer, Mohammed Siraj",0,2,0,0,1,0,0,3
"RG Sharma, A Choudhary",1,3,0,0,2,0,0,6
"KP Pietersen, KJ Abbott",1,0,0,0,0,0,1,1
"YK Pathan, Azhar Mahmood",1,3,0,0,0,0,1,4
"Basil Thampi, Sandeep Sharma",0,3,1,0,1,0,0,5
"M Vijay, S Ladda",3,3,1,0,1,0,0,8
"P Negi, Iqbal Abdulla",0,1,0,0,0,0,0,1
"RV Uthappa, A Symonds",2,5,1,0,0,1,1,9
"V Kohli, RA Jadeja",31,48,12,0,5,2,2,98
"MC Henriques, JJ Bumrah",4,5,1,0,1,0,1,11
"CH Gayle, S Badree",6,4,0,0,0,1,0,11
"Y Venugopal Rao, DT Christian",5,4,0,0,0,0,0,9
"AC Gilchrist, JA Morkel",20,5,1,0,7,2,3,35
"HH Gibbs, DJ Hussey",1,2,0,0,0,0,0,3
"RG Sharma, JA Morkel",9,10,1,0,1,0,3,21
"M Vohra, MJ McClenaghan",0,3,0,0,0,0,0,3
"L Balaji, SP Narine",2,0,0,0,0,0,1,2
"RG Sharma, AC Thomas",0,3,0,0,0,0,0,3
"PA Patel, M Muralitharan",3,4,2,0,1,0,1,10
"ST Jayasuriya, JA Morkel",13,3,1,0,4,5,0,26
"Abdur Razzak, Sohail Tanvir",2,0,0,0,0,0,0,2
"VY Mahesh, LR Shukla",3,1,0,0,0,0,1,4
"AB Agarkar, RR Raje",2,2,0,0,2,0,0,6
"AJ Finch, KK Cooper",11,6,1,0,2,1,1,21
"LRPL Taylor, S Nadeem",0,1,2,0,0,0,0,3
"DA Warner, D Wiese",1,3,0,0,2,0,0,6
"MJ Lumb, T Thushara",4,0,0,0,1,0,0,5
"MS Gony, J Theron",3,1,0,0,0,0,1,4
"AD Nath, JJ Bumrah",1,1,1,0,0,0,0,3
"DJ Jacobs, A Mishra",2,1,0,0,1,0,0,4
"KA Pollard, R Bhatia",6,12,0,0,3,1,2,22
"AS Rajpoot, SL Malinga",3,0,0,0,0,0,1,3
"UBT Chand, R Vinay Kumar",6,5,0,0,1,1,1,13
"RS Bopara, TG Southee",0,2,0,0,0,0,0,2
"SK Raina, Shakib Al Hasan",12,9,2,0,3,1,2,27
"AA Jhunjhunwala, BW Hilfenhaus",0,1,0,0,0,0,0,1
"J Syed Mohammad, UT Yadav",3,2,0,0,2,0,1,7
"Mandeep Singh, CR Woakes",3,1,1,0,1,1,0,7
"BB McCullum, JJ Bumrah",13,4,1,0,5,2,1,25
"KL Rahul, JJ Bumrah",6,5,3,0,2,1,0,17
"BB McCullum, Anureet Singh",2,3,1,0,0,1,0,7
"RE van der Merwe, RJ Harris",6,1,0,0,0,2,0,9
"JH Kallis, Sohail Tanvir",4,1,0,0,0,0,0,5
"BB McCullum, JP Duminy",5,3,0,0,2,0,0,10
"KD Karthik, SM Pollock",3,3,2,0,0,0,0,8
"DA Miller, TG Southee",3,1,0,0,1,1,0,6
"JC Buttler, SN Thakur",0,0,1,0,2,0,0,3
"Ishan Kishan, K Rabada",1,1,0,0,0,0,0,2
"Harmeet Singh, SP Narine",2,0,0,0,1,0,1,3
"MK Tiwary, Mohammed Siraj",0,1,0,0,1,0,0,2
"SE Marsh, S Sreesanth",8,4,0,0,4,0,0,16
"Ishan Kishan, B Kumar",3,2,0,0,2,0,0,7
"MS Dhoni, S Sreesanth",3,5,1,0,0,0,1,9
"M Vijay, DJ Bravo",2,4,1,0,0,0,0,7
"DA Miller, GH Vihari",0,1,0,0,0,0,0,1
"RA Tripathi, I Sharma",1,1,1,0,2,0,0,5
"PP Chawla, RJ Harris",1,2,0,0,0,0,0,3
"LA Pomersbach, RG Sharma",2,2,0,0,0,0,0,4
"FY Fazal, J Theron",5,4,0,0,2,0,0,11
"JP Faulkner, MA Starc",2,2,2,0,2,1,0,9
"V Kohli, RN ten Doeschate",0,1,0,0,1,0,0,2
"WP Saha, Shakib Al Hasan",7,7,2,0,0,1,0,17
"N Rana, TS Mills",1,2,0,0,1,0,0,4
"Karanveer Singh, MA Starc",3,1,1,0,0,0,1,5
"CA Ingram, Yuvraj Singh",3,1,1,0,1,0,0,6
"KA Pollard, A Zampa",1,3,0,0,1,1,1,6
"STR Binny, YS Chahal",2,2,1,0,1,0,0,6
"MK Tiwary, Harmeet Singh",4,4,0,0,1,0,0,9
"CM Gautam, L Balaji",1,1,1,0,0,0,0,3
"AA Bilakhia, DP Nannes",5,0,1,0,1,0,0,7
"V Kohli, Pankaj Singh",9,3,1,0,3,1,1,17
"SK Raina, VS Yeligati",1,1,0,0,2,0,0,4
"M Vohra, Imran Tahir",7,4,0,0,1,0,2,12
"KB Arun Karthik, JDP Oram",6,2,0,0,2,0,0,10
"PP Chawla, FY Fazal",0,2,0,0,0,0,0,2
"SN Khan, NLTC Perera",0,0,1,0,0,0,0,1
"DPMD Jayawardene, V Kohli",1,3,0,0,1,0,0,5
"RT Ponting, IK Pathan",6,0,0,0,0,0,1,6
"YK Pathan, SL Malinga",17,26,3,0,9,1,0,56
"Ankit Soni, JD Unadkat",1,0,0,0,0,0,1,1
"PC Valthaty, Z Khan",9,3,1,0,4,0,1,17
"SPD Smith, J Suchith",2,10,2,0,2,0,0,16
"UBT Chand, B Kumar",2,0,0,0,0,0,0,2
"MD Mishra, SE Bond",0,1,1,0,1,0,0,3
"SS Iyer, D Wiese",1,2,0,0,0,0,0,3
"CH Gayle, I Sharma",5,0,0,0,2,2,1,9
"DL Vettori, IK Pathan",5,1,0,0,0,1,1,7
"DT Christian, CR Woakes",1,2,0,0,0,2,0,5
"KP Pietersen, PJ Sangwan",2,2,1,0,0,0,1,5
"MD Mishra, AG Murtaza",2,0,0,0,1,0,1,3
"SR Watson, V Sehwag",0,3,0,0,0,1,0,4
"F du Plessis, D Wiese",3,8,0,0,2,1,0,14
"BB McCullum, Parvez Rasool",3,0,0,0,1,1,0,5
"S Badrinath, SW Tait",2,1,0,0,0,0,1,3
"V Kohli, KC Cariappa",6,3,0,0,1,6,1,16
"AT Rayudu, R Vinay Kumar",10,7,1,0,2,2,2,22
"S Dhawan, JH Kallis",7,11,3,0,2,3,2,26
"MEK Hussey, MJ McClenaghan",5,2,0,0,1,0,1,8
"DJ Hussey, ST Jayasuriya",5,1,0,0,1,0,1,7
"V Sehwag, BW Hilfenhaus",13,3,1,0,2,1,2,20
"TM Head, S Nadeem",0,2,0,0,0,0,0,2
"A Kumble, SK Warne",1,1,0,0,1,0,0,3
"M Vijay, CJ Jordan",1,4,0,0,4,0,0,9
"AC Gilchrist, SB Wagh",0,1,0,0,0,0,0,1
"SP Goswami, B Lee",0,1,0,0,0,0,0,1
"SPD Smith, MG Johnson",9,4,0,0,2,0,2,15
"SK Raina, Imran Tahir",3,4,2,0,2,0,0,11
"Y Nagar, A Kumble",4,5,0,0,0,0,1,9
"M Kartik, MM Patel",2,1,0,0,0,0,0,3
"Q de Kock, JJ Bumrah",0,1,0,0,0,0,0,1
"SV Samson, AD Russell",3,6,0,0,4,0,1,13
"MK Pandey, P Awana",4,6,2,0,2,2,0,17
"RS Bopara, M Morkel",2,1,0,0,0,0,1,3
"Vishnu Vinod, AR Patel",1,1,0,0,0,0,0,2
"PR Shah, S Sreesanth",1,0,2,0,0,0,1,3
"KH Pandya, Z Khan",5,5,2,0,3,1,0,16
"AR Patel, R Bhatia",0,2,1,0,0,0,0,3
"AC Thomas, Z Khan",1,2,0,0,1,0,0,4
"KA Pollard, A Singh",3,0,1,0,0,0,0,4
"MS Dhoni, NM Coulter-Nile",6,1,0,0,0,2,1,9
"SPD Smith, V Pratap Singh",1,2,0,0,0,0,0,3
"AM Rahane, AF Milne",5,4,0,0,2,0,0,11
"CH Morris, Imran Tahir",1,1,0,0,0,1,0,3
"R Dravid, SC Ganguly",2,6,0,0,1,0,1,9
"Mandeep Singh, JD Ryder",2,3,2,0,0,0,1,7
"SK Raina, RJ Harris",5,2,0,0,0,0,1,7
"KC Sangakkara, AM Nayar",0,2,1,0,1,0,0,4
"BJ Rohrer, Azhar Mahmood",1,3,0,0,2,2,0,8
"BCJ Cutting, SP Narine",2,2,0,0,0,0,0,4
"SC Ganguly, YK Pathan",12,20,1,1,5,0,0,39
"RA Jadeja, M Kartik",6,6,0,0,1,1,0,14
"D Wiese, MM Sharma",2,3,0,0,1,1,1,7
"PA Patel, DJ Muthuswami",4,1,0,1,0,0,0,6
"I Sharma, Z Khan",0,1,0,0,1,0,0,2
"SR Watson, SE Bond",3,2,0,0,2,0,0,7
"NV Ojha, S Kaushik",1,1,0,0,0,0,0,2
"CH Gayle, JE Taylor",0,2,0,0,0,0,0,2
"NM Coulter-Nile, TS Mills",0,1,0,0,0,0,0,1
"V Sehwag, GB Hogg",5,7,2,0,2,1,2,17
"AB de Villiers, MM Sharma",5,2,3,0,2,4,1,16
"M Vijay, Mohammed Shami",1,1,0,0,2,0,0,4
"TM Dilshan, AB Dinda",11,6,0,0,4,0,2,21
"DA Miller, M Morkel",7,6,0,0,0,0,0,13
"CH Morris, M Morkel",0,2,0,0,0,0,0,2
"MC Juneja, BA Bhatt",2,2,0,0,0,0,0,4
"M Vohra, B Stanlake",4,6,0,0,0,1,0,11
"AM Nayar, JD Ryder",7,8,0,0,2,0,1,17
"V Sehwag, VS Malik",6,0,0,0,3,2,0,11
"Ishan Kishan, SL Malinga",6,3,0,0,0,1,0,10
"P Kumar, J Botha",1,2,0,0,0,0,0,3
"V Sehwag, Shahid Afridi",0,3,1,0,0,1,0,5
"CA Pujara, MM Sharma",0,1,0,0,0,0,0,1
"DT Christian, WD Parnell",0,2,0,0,0,0,0,2
"MP Stoinis, Z Khan",2,2,2,0,0,0,1,6
"MS Dhoni, RS Bopara",3,5,0,0,3,0,0,11
"KV Sharma, S Kaul",2,1,0,0,1,0,0,4
"S Anirudha, SR Watson",0,1,0,0,1,1,0,3
"SA Yadav, YS Chahal",7,9,1,0,2,0,0,19
"CL White, WD Parnell",1,1,0,0,1,0,1,3
"RA Jadeja, RG Sharma",3,9,0,0,0,0,0,12
"IR Jaggi, Harbhajan Singh",1,0,0,0,0,0,1,1
"R Vinay Kumar, M Ashwin",1,1,0,0,0,0,0,2
"PP Chawla, MM Sharma",1,1,0,0,0,0,1,2
"MV Boucher, DL Vettori",3,8,2,0,1,0,0,14
"R Dravid, DL Vettori",15,21,3,0,3,0,1,42
"SPD Smith, VR Aaron",4,0,0,0,2,1,0,7
"Y Nagar, AM Nayar",1,1,0,0,1,1,1,4
"MS Dhoni, DL Vettori",12,13,1,0,2,0,1,28
"SS Iyer, SP Narine",5,8,1,0,0,0,0,14
"N Rana, SP Narine",1,3,0,0,0,0,0,4
"MC Henriques, J Suchith",2,1,0,0,0,0,1,3
"WP Saha, Mohammed Shami",7,1,0,0,3,1,2,12
"AC Gilchrist, M Morkel",27,6,0,0,3,2,1,38
"AR Patel, Rashid Khan",0,2,0,0,0,0,0,2
"DA Miller, DL Vettori",2,2,0,0,0,0,0,4
"S Rana, DW Steyn",1,1,1,0,1,0,0,4
"SM Katich, Joginder Sharma",1,3,0,0,0,1,0,5
"SR Tendulkar, RE van der Merwe",7,7,2,0,0,1,0,17
"SK Raina, Y Venugopal Rao",0,2,0,0,1,0,0,3
"SR Tendulkar, S Tyagi",3,2,0,0,2,0,0,7
"CH Morris, NLTC Perera",0,1,0,0,2,2,0,5
"JH Kallis, Shoaib Malik",2,1,0,0,0,0,0,3
"RJ Quiney, JA Morkel",3,4,0,0,2,0,0,9
"BJ Hodge, BE Hendricks",1,0,1,0,2,2,0,6
"BB McCullum, TG Southee",3,3,0,0,2,1,0,9
"AJ Finch, B Kumar",6,4,3,0,0,0,1,13
"SN Khan, TG Southee",1,1,2,0,0,0,0,4
"S Badrinath, AJ Finch",0,3,0,0,1,0,0,4
"CA Lynn, A Choudhary",3,0,0,0,2,1,0,6
"S Badree, AR Patel",1,0,0,0,0,0,1,1
"DJ Hussey, VY Mahesh",1,4,0,0,0,0,0,5
"MS Dhoni, Anureet Singh",3,5,2,0,1,2,0,13
"B Chipli, JD Unadkat",2,2,0,0,1,0,0,5
"Z Khan, P Negi",0,2,0,0,0,0,0,2
"CL White, RV Gomez",2,2,0,0,0,0,0,4
"BB McCullum, MS Gony",3,1,0,0,2,1,0,7
"R Dravid, Sohail Tanvir",0,1,1,0,0,0,0,2
"MK Tiwary, M Morkel",12,4,1,0,2,1,4,20
"SW Billings, Imran Tahir",2,2,0,0,0,0,1,4
"AB de Villiers, SS Sarkar",0,0,0,0,1,0,0,1
"SS Tiwary, TL Suman",4,3,3,0,0,0,0,10
"RG Sharma, SL Malinga",2,2,1,0,0,0,1,5
"V Kohli, Harbhajan Singh",14,36,2,0,2,5,0,59
"NM Coulter-Nile, UT Yadav",0,1,0,0,0,0,0,1
"HH Gibbs, SB Jakati",2,0,1,0,0,0,1,3
"DR Smith, B Kumar",29,7,1,0,6,2,3,45
"KD Karthik, SB Jakati",6,4,2,0,3,1,2,16
"V Kohli, AB McDonald",0,3,0,0,2,1,0,6
"S Badrinath, SL Malinga",18,13,0,0,6,0,1,37
"Yuvraj Singh, S Randiv",8,5,1,0,1,0,0,15
"N Rana, CR Woakes",1,4,0,0,1,0,0,6
"RV Uthappa, DR Smith",3,4,0,0,0,0,1,7
"GJ Bailey, KA Pollard",2,5,0,0,1,0,0,8
"KS Williamson, CR Woakes",2,1,2,0,3,0,0,8
"Yashpal Singh, DJ Bravo",1,0,1,0,0,0,1,2
"MG Johnson, STR Binny",1,0,0,0,0,0,0,1
"Yuvraj Singh, SM Harwood",10,3,1,0,0,0,0,14
"RV Uthappa, Sandeep Sharma",18,7,4,0,9,0,1,38
"JA Morkel, RR Powar",1,0,0,0,0,0,0,1
"EJG Morgan, M Muralitharan",4,2,0,0,1,0,0,7
"M Vijay, TL Suman",3,2,0,0,0,0,1,5
"VS Yeligati, VRV Singh",1,0,1,0,0,0,0,2
"BB McCullum, Bipul Sharma",7,7,1,0,1,0,3,16
"SV Samson, AR Patel",6,17,1,0,0,0,1,24
"RR Sarwan, MS Gony",1,1,0,0,0,0,0,2
"KC Sangakkara, S Kaul",4,0,0,0,2,0,0,6
"AB de Villiers, AB Agarkar",3,0,1,0,1,0,0,5
"DJ Bravo, RE van der Merwe",3,8,5,0,0,2,0,18
"SM Pollock, B Geeves",2,1,0,0,0,0,0,3
"YK Pathan, Mohammed Siraj",0,1,0,0,0,0,0,1
"J Syed Mohammad, DE Bollinger",1,1,0,0,0,0,0,2
"CH Gayle, CJ Anderson",0,6,0,0,0,0,0,6
"Y Nagar, JD Unadkat",2,0,0,1,0,1,0,4
"RR Pant, SL Malinga",1,0,0,0,0,0,0,1
"TL Suman, BJ Hodge",2,2,1,0,0,1,0,6
"S Badrinath, RA Jadeja",0,2,1,0,0,0,0,3
"Mohammed Shami, HV Patel",0,0,0,0,2,0,0,2
